,0,1,2
1553,1554,स्वच्छता सेवा भावना,non-hostile
1554,1555,नेपाल प्रधानमंत्री पी ओली ठोंका ताजमहल दावाकहाँ शाहजहाँ नेपाली उसका असली नाम शाहाबजी भारतीयों उसको शाहजहाँ बना नेपाल जल्द उपर पिटीशन दाखिल करेगा जोय शाब्जी,fake
1555,1556,आलू सोना बनाया पानी करंट निकाला स्कूटर बस बनाया थोड़ा सब्र रखिए गधे डीजल मूतवा दे कहना ।,defamation
1556,1557,अमेरिका टाइम मैगज़ीन साँठ गाँठ खुलासा करोड़ भारतीय इस्तेमाल अब चाहता उससे पैसों भुगतान जाए । मोदी सरकार स्वीकृति ज़रूरत । इसलिए पकड़ ।,non-hostile
1558,1559,नवनियुक्त महामंत्री रणबीर सिंह रावत हरिशंकर खटीक शरदेन्दु तिवारी भगवान दास सबनानी सुश्री कविता पाटीदार हार्दिक बधाई शुभकामनाएँ विश्वास सहयोग मध्य प्रदेश संगठन मजबूत करेंगे,non-hostile
1559,1560,उच्च शिक्षा संस्थानों केवल शोधार्थियों तथा तकनीकी व्यावसायिक प्रोग्रामों जिनमें प्रयोगशाला सम्बन्धी कार्यों आवश्यकता पड़ती,non-hostile
1560,1561,मोदी चेहरा पसीने मालिश चमका लेते देश खून पसीना क्यों निकलवा,defamation
1561,1562,कोरोना रिपोर्ट पॉजिटिव आने खुद ट्वीट करके प्रताप सिंह खाचरियावास दी जानकारी,non-hostile
1562,1563,वरिष्ठ प्रशांत भूषण जंगपुरा कार्यालय मिला । बधाई वो आम आदमी न्याय लड़ । लॉकडाउन मज़दूरों समस्या सप्रीम कोर्ट लताड़ा सही । न्याय पालिका दलित पिछड़ा विरोधी । उन्होंने सच न्यायपालिका भ्रष्ट ।,non-hostile
1563,1564,मोती नेहरू राहुल गांधी परिवार मिस्ट्री । पप्पू असली नाम राहुल गांधी राउल विंची राहुल खान । अपनेको दत्तात्रेय गोत्र जनेवुधारी हिंदू बताता जबकि माँ ईसाई बाप फिरोज खान मुस्लिम । ब्रटिश नागरिक भारतीय । शादीशुदा कुँवारा ।,defamation
1564,1565,सिव निर्दोष साधु हत्या बल्कि हमारी हिन्दू संस्कृति हत्या अगर इससे रोका किस्से रहेंगे । ।,hate
1565,1566,पूरे देश लूट अडानी अंबानी गुलाम बना भ्रमित लोगों जिंदगी नर्क बना लोगों लूट कंगाल भिखारी बना देश साल पीछे धकेल दी बेरोजगारी कारण लोग आत्महत्या तुमसे ज्यादा भ्रमित देश,defamation
1566,1567,जीडीपी हिन्दू खतरे बाहर मोदी कमाल बधाई कट्टर हिन्दू,defamation
1567,1568,भारत चीनी सैनिकों लद्दाख झड़प चीन जवाब,non-hostile
1568,1569,सांसद साम दाम दंड भेद चल,defamation
1569,1570,चम्मचो पेलाई हूँ स्पीड ठीक थोड़ा 😂😂❓,defamation
1570,1571,प्रपोज़ दू घुटने टेक डर बात कही वो कमीनी छाती लात मार दे,offensive
1571,1572,अलीगढ़ साल हिंदू युवती आरोप लगाया समुदाय लोगों दरगाह दिन बंधक बनाया निकाह धर्मांतरण । दरगाहों लवजिहाद धर्मांतरण मामले आये । क्या दरगाहें गैरकानूनी गतिविधियों अड्डा,hate
1572,1573,कंगना मिली श्रेणी सुरक्षा सितम्बर जाएंगी मुंबई1,non-hostile
1573,1574,तुम्हारे बाप दादा कभी खेती बता प्याज कितने पानी लगते कितने बार गुराई कितने बार कीटनाशक छिड़काव आलू कितनी बार पानी छिड़काव जाती गेहूं कितने बार पानी लगते गेहूं डालने वाली कीटनाशक नाम बता,offensive
1574,1575,चीन विवाद रक्षा मंत्रालय अहम बैठक,non-hostile
1575,1576,मोदी चीनी ऐप बंद हज़ारों किलोमीटर भारत जमीन नही छोड़ेगा । आवाहन देश होगा ।,non-hostile
1576,1577,लखनऊः हिस्ट्रीशीटर दुर्गेश यादव हत्या दिनदहाड़े बदमाशों मारी गोली1,non-hostile
1577,1578,प्रभु रक्षा कीजिये समय विशव भारत देश भीषण परेशानियों सामना कोरोना बंगाल अम्फान किसानों टिड्डी दल हमला उभर उत्तराखंड जंगल आग लग गई दिन उत्तराखंड जल ईश्वर रक्षा करिये अब पीड़ा मत दीजिये पशु पक्षी पेड़ पौधों पक्षियों प्रजातियों वन्यजीवों आधे अधिक खतरे प्रभु जल्दी जल्दी भीषण परेशानियों दूर,fake
1580,1581,नेपाल प्यारा चीन दुलारा बुद्धि मारा कोरोना हारा । भक्तों ऐसा नेता तुम्हारा,defamation
1581,1582,आईटीबीपी जवानों करीब घंटे चलकर परिजनों पहुंचाया मृतक शव1,non-hostile
1582,1583,दिल्ली दंगो जांच इसने जीजा ताहिर मिल दंगा कराया जीजा जेल वाला साला बाहर कैसे,fake
1583,1584,संविधान मूल ढांचे सिद्धांत दिलाने संत केशवानंद भारती निधन पीएम मोदी समेत जताया शोक1,non-hostile
1584,1585,नीतीश पहली बार लालू यादव पारिवारिक कलह उठाए सवाल पूछा ऐश्वर्या कैसा व्यवहार रिपोर्ट,non-hostile
1585,1586,भोसड़ीवाले आखिर तुने औकात दिखा । तु साले नम्बर कमीना रे हरामी,hate
1586,1587,अक्टूबर ६ मध्य प्रदेश मुरैना कांग्रेस नेताओं सम्बोद्धित रैली पार्टी अध्यक्ष राहुल गाँधी महिला कार्यकर्त्ता हाथ पकड़ लिया,fake
1587,1588,गृह मंत्री प्रयासों दिल्ली लोगों समय प्रकार स्वास्थ संबंधी सुविधाएं मुहैया करवाई गई जिससे दिल्ली कोरोना संक्रमण ठीक वालों दरों वृद्धि आई प्रदेश अध्यक्ष,non-hostile
1588,1589,दरभंगा एम्स निर्माण रास्ता साफ वित्त मंत्रालय व्यय वित्त समिति मिली हरी झंडी1,non-hostile
1589,1590,तुम्हारी सुनूंगाना बोलूंगामै देश बेच दम लूंगा मोदीजी,defamation
1590,1591,देश त्रासदी जननी कांग्रेस महाराष्ट्र कैसे संभाला दिख मुंबई स्टेशन पाकिस्तान जिंदाबाद नारे लग,hate
1591,1592,सीरिया पाकिस्तान बुरी हालात भारत,fake
1592,1593,मोदी विरोधी गोल घेरे लिखा आखं खोल पढ़ लो समझो कांग्रेस विपक्ष दलों एजेंडा क्या मुफ्त बिजली पानी खुश रह जाओगे मुस्लिम राज आ जायेगा ।,fake
1593,1594,विधायक अनिल उपाध्याय हिम्मत देखिये पुलिस हाल आम जनता क्या होगा मुबारक रामराज्य इतना वायरल करो हिन्दुस्तान देख सके,defamation
1595,1596,हमारा देश अच्छा लोग अच्छे प्रकृति भारत हर सुविधा दी । साल गंदी राजनीति वजह हमारा देश पिछड़ा रह । मुख्यमंत्री,non-hostile
1596,1597,शिक्षा माध्यम हमें विद्यार्थियों गढ़ना राष्ट्र गौरव विश्व कल्याण भावना ओत प्रोत हों सही अर्थों ग्लोबल सिटिजन बन सकें ।,non-hostile
1597,1598,कोरोना महामारी लड़ने खत्म आरबीआई तरकश तीर v 1,non-hostile
1598,1599,नंबर झूठा । साला इंसान क्या सम्मान नीचता हद पार दी ।,fake
1599,1600,नंबर दोगले पार्टी इनसे ज्यादा मक्कार कमीना नही होगा ।,offensive
1600,1601,मोदी भारत विकास रिश्ता ऐसा आसमान जमीन रिश्ता दोनों संगम कभी पाता,defamation
1601,1602,क्या मुस्लिम क्लर्क काल्पनिक शोले अल जजीरा स्क्रीनशॉट साझा,fake
1603,1604,राहुल बाबा इसीलिये पप्पू चमचों देख लो आपने पप्पू कारनामे,hate
1604,1605,राहुल गांधी ट्वीट नही जबकि रात चुका ।,defamation
1605,1606,लगा सिक्सर मारा शॉल्लीड मारा दिल हिंदुस्तानी,offensive
1606,1607,समस्तीपुर वर्दी शराब पीते फोटो वायरल दारोगा सस्पेंड1,non-hostile
1607,1608,नई कोल्ड चेन परियोजनाओं किसानों फायदा प्राप्त होगा परियोजनाओं माध्यम किसानों प्रत्यक्ष अप्रत्यक्ष रूप रोजगार उत्पन्न संभावना केंद्रीय मंत्री विवरण,non-hostile
1608,1609,अनलॉक तहत गोवा मंगलवार रेस्टोरेंट बार दोबारा खुल गए गोवा होटल रेस्टोरेंट संगठन सरकार कदम स्वागत उम्मीद नवंबर दिसंबर पर्यटन उद्योग दोबारा वापस लौटेगा1,non-hostile
1609,1610,कमीनी जलील औरत बेहूदा औरत तू होगी मुगल औलाद राजपुतनियो जौहर किये अस्मत हाथ नही आने । कमीनी अरेस्ट जाना चाइये । टके चमची,defamation
1610,1611,अनिल अंबानी दिल्ली हाईकोर्ट राहत इन्सॉल्वेंसी प्रक्रिया लगी रोक v,non-hostile
1611,1612,ईद मुबारक ।,non-hostile
1613,1614,पी गांव कोरोना स्क्रीनिंग गईं डॉक्टर वंदना तिवारी मुस्लिमों गई पत्थरबाजी मौत गई ।,defamation
1614,1615,आतंकियों कार घुमाने वाला दिन डायरी पेश पाने कारण जमानत हैऔर गोदी मीडिया जनता रिया कंगना उलझा रखी,offensive
1615,1616,इतिहास याद करेगा लोकतंत्र चौथे स्तंभ रक्षा,defamation
1616,1617,निर्माण कार्य पटना मेट्रो चुनाव शिलान्यास करोड़ एजेंसियों मिला काम एकड़ जमीन अधिग्रहण तैयारी 1,non-hostile
1618,1619,क ऐसी तरकीब बनाऊंगा टोपी लगा सेक्युलर नाम जुम्मनो वोट कमाऊंगा क्या रिज़र्वेशन जैसी सुविधाएं,hate
1619,1620,यूपी पटरी दौड़ेगी लखनऊ मेट्रो सेनिटाइज होंगे टोकन आरोग्य सेतू एप जरूरी1,non-hostile
1620,1621,भारतीय सेना चिनार कॉर्प्स बताया अगस्त बारामुला सेक्टर पास संदिग्ध गतिविधियां देखी गईं । इसपर लगातार नजर रखी गई । पत्थरों बीच हथियार गोला बारूद बरामद । आतंकी गतिविधियां संचालित थीं ।,non-hostile
1621,1622,पश्चिम बंगाल हिंदूओं ज़ुल्म हुगली तेलीनीपारा झड़प घरों आग लगाई गृह मंत्री अमित शाह स्थिति गौर चाहिए अवार्ड वापिस गैंग कहाँ हैवे पत्रकार भारतीय प्रवासियों रूप बांग्लादेश रोहिंग्याओं छवि साझा हैंकुछ कहेंगे,hate
1622,1623,नाम पता देशद्रोही नाम लेना पाप कमिनी,hate
1623,1624,ज्यादा कमीना सांसद,hate
1624,1625,आवश्यक सूचना जानकारी मिली ग्राम नागेलाव वाया पीसांगन जिला अजमेर बालिका जन्म हॉस्पिटल बालिका जन्म लेते बोली भारत कोरोना वायरस संक्रमण फैला बचाव भारत प्रत्येक नागरिक दाएं पैर अंगूठे नाखून हल्दी लेप मेहंदी लगाना इससे कोरोना संक्रमण समाप्त जाएगा नागरिक सकुशल रहेंगे कहकर बालिका समय मृत्यु गई देखकर अस्पताल डॉक्टर आश्चर्यचकित गए अतः आपसे निवेदन तत्काल लेप दाएं पैर अंगूठे नाखून लगाकर कोरोना वायरस संक्रमण एवंअपने परिवार जीवन बचाएं फेक न्यूज़ सत्य घटना,fake
1625,1626,बतक कोरोना पॉजिटिव मरीजों मृत्यु सम्बन्ध डेथ ऑडिट हवाला । पिछले दिनों,fake
1626,1627,एमएस धोनी दरार कारण भारत लौटे सुरेश रैना श्रीनिवासन किए खुलासे,non-hostile
1627,1628,चुतिया साला ।,offensive
1628,1629,कोरोना संक्रमण मामले अमेरिका टॉप कमला हैरिस ट्रंप साधा निशाना,non-hostile
1629,1630,देश लड़ाकू विमान चक्का बना पाई देश देश लड़ाकू विमान असली नकली पहचान लेती न्यूज़ चैनल साइंटिस्ट बना दीजिए कहीं चार लड़ाकू विमान बना दें,hate
1630,1631,पीएम मोदी मोर फोटो वायरल राहुल जानवर ऐसी फोटो करवाई । राहुल गांधी किताब पढ़ते दिख पास गधा बैठा दिख ।,fake
1631,1632,बार,non-hostile
1632,1633,कार्टून लोकप्रिय स्पाइडरमैन केंद्रित मीम पुनरावृत्ति प्रधान मंत्री नरेंद्र मोदी अकेले भारत विपक्ष विदेशी ताकतों बचाते दिखाता ।,fake
1633,1634,बिहार दरभंगा मशहूर साइकिल गर्ल ज्योति कुमारी नाम वर्षीय लड़की बलात्कार उसकी हत्या दी गई । मिडिया खामोश क्यों,fake
1634,1635,बढ़ी देश ताकत अमेरिका रूस चीन हाइपरसोनिक क्लब भारत शामिल yv,non-hostile
1635,1636,बाबरी मस्जिद फैसला सुनाने चीफ़ जस्टिस रंजन गोगोई कोरोना पॉजिटिव,fake
1636,1637,मम्मी बेटा बेटिंग  बेटा मम्मी बेटिंग करेगी चमचों हमेशा फील्डिंग करनी,defamation
1637,1638,अगर निवेश सोच आपको बता दें बैंकों दरें कम दीं w,non-hostile
1638,1639,जुल्म इतना बुरा जितनी बुरी खामोशी हिंदुओं बोलना सीखो आने वाली पीढियां गूगीं बहरी जाऐगी,hate
1639,1640,ड्रग्स मामले रिया चक्रवर्ती पूछताछ करेगा कल पूछताछ रिया माना ड्रग्स डीलर बासित आता,non-hostile
1640,1641,चालान लडके कार आग लगा दी बीवी बच्चो सडक पिस्तौल देके बिठा,fake
1641,1642,मोदी मुमकिन साल राष्ट्र तस्वीर देखने मिलता अब हलाला औलाद ताकत नही वो लाल चौंक राष्ट्रविरोधी ताकते दोगला नाच करे आशा जल्द होंगे,fake
1642,1643,सुन बे कुतिया भक्त हमारे पवित्र शब्द शब्द भगवान् बराबर तूने हमारी धार्मिक भावनाओं खेल लिया साली हमारी धार्मिक आस्था चोट पहुंचाई तेरा वो हश्र करेंगे जाएगी साँस कहाँ ले पादें कहाँ,hate
1643,1644,भारत मच गई हाहाकार रोटी ताली बजा युवा भारत हालात लीबिया सीरिया तालिबान बदतर हालात,hate
1644,1645,सुशांत बिजनेस डील जून वो डील दीपेश सुशांत हत्या दिन क्यों याद आई देखिए पूछता भारत अर्नब रिपब्लिक भारत,non-hostile
1645,1646,राजस्थान हाईकोर्ट स्कूल फीस लेकर सोमवार अहम फैसला सुनाया,non-hostile
1646,1647,नही तेरी कमीने,offensive
1647,1648,लिंचिंग घटना उत्तर पदेश गांव कामंड हरयाणा बॉर्डर आदमी क़त्ल बुलंदशहर रौंदा गांव दिन सहारनपुर लिंचिंग आदमी क़त्ल यागी लोगो किसने हक़ क़त्ल ।,non-hostile
1648,1649,काशी डोम राजा पद भारतीय संस्कृति व्याप्त विविधता व्यापकता सामाजिक समरसता प्रतीक । बाबा विश्वनाथ सच्चे उपासक डोम राजा जगदीश चौधरी स्वर्गवास अत्यंत दुःखद । निधन सनातन परंपरा भारतीय समाज अपूरणीय क्षति ।,non-hostile
1649,1650,जम्मू कश्मीर पुलवामा आतंकवादियों मुठभेड़ शहीद जनपद मुजफ्फरनगर निवासी सेना जवान प्रशान्त शर्मा शौर्य वीरता नमन । राष्ट्र रक्षा प्राण न्योछावर सर्वोच्च बलिदान सदैव याद रखा जाएगा । उत्तर प्रदेश गर्व । जय हिंद,non-hostile
1650,1651,कोल इंडिया लिमिटेड सी आई एल परियोजनाओं विकास करोड़ रुपये निवेश करेगी,non-hostile
1651,1652,टिंडर पाकिस्तानी कार्रवाई टिप्पणी है1,non-hostile
1652,1653,कोरोना सैकड़ों मोदी संभाला हज़ारों पहुंचा मुख्यमंत्रियों लाख पहुंचा इससे ऊपर अब जनता मोर्चा ले लिया ।,non-hostile
1653,1654,रेलवे महीने करोड़ लाख टन माल ढुलाई,non-hostile
1655,1656,टाइम्स नाऊ चैनल दिन देश धर्मांतरण स्पेशल प्रोग्राम दिखा । उसमें बात सामने आई आंध्र प्रदेश ईसाई आबादी प्रतिशत ऊपर चुकी । जबकि काग़ज़ों सिर्फ़ प्रतिशत । हाल पूरे देश ।,hate
1656,1657,नही कमीना देश कभी भलाई नही सोचता सिर्फ भरता ।,offensive
1657,1658,सुप्रीम कोर्ट अर्जी लगाओ वर्ना लोवर कोर्ट समय पैसे बर्बादी वहा वकील फ्री केस लड़ते उनसे मिलना पड़ेगा मिडिया बात जंतर मंतर खड़े होकर कहनी होगी सदैव देगे,defamation
1659,1660,टीसीएस ग्रेन्यूल्स इंडिया शेयरों नजर होगा फायदा v,non-hostile
1660,1661,भक्तो फूफ्फा इनके करतूत देखे,fake
1661,1662,सितंबर प्रदेश लगभग जगहों ऑक्सीजन जांच अभियान चलाने तैयारी तहत प्रदेश अध्यक्ष प्रदेश कार्यालय भोपाल जिलावार ऑक्सीमीटर वितरण कार्य शुरू किये । vw w,non-hostile
1662,1663,देशद्रोही पाकिस्तान समर्थक हाज़िर देशद्रोही पाकिस्तान भक्त गाँजा फुँकते,offensive
1663,1664,लाख कर्मचारी रेलवे बोर्ड मेंबर स्टॉफ पोस्ट खत्म v 1,non-hostile
1664,1665,भारत चीन सैनिकों लद्दाख झड़प क्या कहना चीन कास्टोरी टीम बीबीसीआवाज़ भरत शर्मा,non-hostile
1665,1666,कोर्ट जारी किए पूजन जुड़े दिशा निर्देश श्रद्धालु पंचामृत अभिषेक करेगा1,non-hostile
1666,1667,पीएम मोदी बजे प्रणब मुखर्जी अंतिम दर्शन करेंगे1,non-hostile
1667,1668,नौकरियां कदर खत्म हर शख्स धर्म खतरे लगे भीड़ हिस्सा बन सत्ता हथियार बन संविधान,hate
1668,1669,कल ऐसा लग अंधभक्तों सड़कछाप दलालो परकिसी कीड़े मारने वाली दवा छिड़काव होसब बिलबिला,offensive
1669,1670,पूर्व राष्ट्रपति,non-hostile
1670,1671,कोलकाता नाइट राइडर्स बार खिताब नाम हालांकि पिछले छह सालों फाइनल पहुंच पाई,non-hostile
1671,1672,मुंबई हॉस्पिटल भर्ती ऋषि कपूर आखिरी वीडियो जिसमे ऋषि कपूर इलाज डॉक्टर ऊपर फिल्माया गाना गाया,fake
1673,1674,उप्र बना महाजंगल राज । अब आपने सुना होगा इंसान कार सवार अगवा जाता अब बस अगवा गई ।,non-hostile
1674,1675,सितंबर रात चीनी सेना दोबारा एलएसी घुसपैठ । चीनी सेना भारतीय सेना ब्लैक टॉप हिल हटाने कोशिश कोशिश भारतीय सेना नाकाम ।,fake
1675,1676,धारा तहत लोगों विरुद्ध एफआईआर दर्ज गई । प्रदेश अब वाहनों सघन चेकिंग वाहन सीज किए गए । चेकिंग अभियान दौरान शमन शुल्क वसूल गृह सूचना,non-hostile
1676,1677,हफ्ते टेस्ट होंगे दोगुने मिलेगी ऑक्सीजन ।,non-hostile
1677,1678,जिसको आपने प्यार याद आती आपकी आँखे नम जाती,defamation
1678,1679,विधायक अनिल उपाध्याय हरकत क्या कहेगे मोदी पोलिस अधिकाऱ्याची परिस्थिती निर्माण होऊ शकते समाचार सेनल दलालो ऐसा वीडियो क्यो नही दिखा,defamation
1679,1680,केंद्र सरकार कर्मचारियों नई गाइडलाइन जारी जिससे कोरोना संक्रमण फैलने रोका सके । केवल असिम्प्टेमेटिक कर्मचारियों एंट्री कंटेनमेंट जोन रहने वालों बाहर निकलने जरूरत ।,fake
1680,1681,पूर्व राष्ट्रपति,non-hostile
1682,1683,देश अपमान सहेगा हिंदुस्तान फेसबुक आंखी दास तिरंगे केक बनाकर काटा,fake
1683,1684,जय हिन्द सेना नालायक देश द्रोही पता चाहिए किअपनी ज़मीन वापस लेने लिएभी शोर्य पराक्रम साहस चाहिए । गद्दार सूअरों अपनेबाप माल समझ कब्ज़ा छोड़ दी कमीने भेाैकने सोचते,offensive
1685,1686,कब होगा कोरोना वायरस मंत्री डॉ हर्षवर्धन जवाब,non-hostile
1686,1687,बेटी बचाओ बेटी पढ़ाओ भाजपा जोरदार नारे । किनसे बचाओबेटियों यूपी बिहार जगहों भेड़ बकरी दुर्व्यवहार । मोदी तेरे राज बेटियां लुट गईं भरी बाजार । देश बेटियों ऐसी दुर्दशा हर मांओं क्या चाहिए,defamation
1687,1688,आदरणीय युवाओं जीवन उज्ज्वल बनाने अहर्निश प्रयत्नशील । युवाओं रुचि प्रतिभा क्षमता कुशलता अनुरूप मान सम्मान प्राप्त प्रधानमंत्री नीतियों आधार । युवा हितों संरक्षण हेतु समर्पित प्रधानमंत्री आभार,non-hostile
1689,1690,संवित पात्र बीजेपी अकेले पूरे विपक्ष भारी पड़ जाते इनके बिना टीवी डिबेट देखने मन लगता ऐसा लगता,hate
1690,1691,अनुसूचित जाति पिछड़ा कल्याण मंत्री डॉ बनवारी लाल बताया प्रदेश सरकार वित्त वर्ष अनुसूचित जाति किसानों विभिन्न योजनाओं तहत करोड़ रुपए राशि प्रावधान ।,non-hostile
1691,1692,महाराष्ट्र सरकार कितने आदमी सरकार सिर्फ महिला । वाट लगा दी सरकार,defamation
1692,1693,देश दर्द भूलेगा स्कूल आते बच्चे दंगाइयों छोड़ा अब बच्चे जान लेने खबर देश सामने आयी दिल्ली दंगे सोशल मीडिया आई दर्दनाक तस्वीर क्या कसूर बच्चे देश दर्द भूलेगा,fake
1693,1694,क्या आपको पता कैप’ मायने कमाल कारनामा भारतीय चुके,non-hostile
1695,1696,असंगठित क्षेत्र कामगारों खुशखबरी सरकार बड़ा काम v,non-hostile
1696,1697,सबरीमाला महिलाओं प्रवेश सुप्रीम कोर्ट आदेश तुलना केरल महिलाएं एलपीजी मूल्य बढ़ोतरी ज्यादा परेशान । लेख तस्वीर मुख्य तस्वीर रूप उपयोग मलयालम शीर्षक कहता महिलाओं कोट्टारकर कोल्लम घरों दौरा सबरीमाला मुद्दे हस्ताक्षर एकत्र बीजेपी नेताओं गैस सिलेंडर बिल दिखाकर विरोध ।,fake
1697,1698,साल किसान भरोसे देश इकॉनमी एकमात्र कृषि क्षेत्र पॉजिटिव ग्रोथ v,non-hostile
1698,1699,लव जेहाद मामलों कब लगेगी लगाम उत्तर प्रदेश प्रयागराज मामला आया सामने,non-hostile
1699,1700,आखिर पाकिस्तान आतंकी देश भारत कांग्रेस सरकार क्यू चाहता भारतीय विचार करे,fake
1700,1701,ऐसा अच्छा निर्णय काश मानसिकता बदली बता बाबरी अस्पताल नाम मुस्लिम महापुरुष नाम रखा आक्रांता नाम,fake
1701,1702,अरे अडानी अंबानी कुत्ता किसान जमीन फसल लूटने खेल खेल दी किसान जमीन फसल लूटकर मित्र उद्योगपति अमीर बनाने कोशिश दी देश गद्दार किसान तुम्हें बोला विधायकों लेकर आना किसान बोला एमएसपी कानून बना क्यों बनाया,offensive
1702,1703,दलित कार्ड मुकेश सहनी नीतीश महागठबंधन ठीक,non-hostile
1703,1704,बड़ा कमीना सिर्फ हिन्दू भाइयों खिलाफ जहर उगलता चक्कर दिन जेल । लोगो हमदर्दी रखता ।,defamation
1704,1705,उत्तर प्रदेश त्रिस्तरीय पंचायत चुनाव बच्चों अधिक लोगों लग सकती पाबंदी1,non-hostile
1705,1706,मुख्यमंत्री टोसिलिजुमैब रेमडीसीविर इंजेक्शन प्रदेश मेडिकल कॉलेजों उपलब्ध कराने निर्णय लिया ताकि मरीज़ों जीवन रक्षा सके ।  ,non-hostile
1706,1707,चुनाव अच्छी खबर करोड़ बिहार नक्सल प्रभावित जिलों बनेंगी सड़कें पुल1,non-hostile
1707,1708,भक्तों अम्मा देश संस्था बेचतीं,defamation
1708,1709,सुशांत केस रिया चौथे दिन पूछताछ हाथ लगा खास1,non-hostile
1709,1710,लुधियाना अस्पताल बालकनी कूदे कोरोना संक्रमित तोड़ा दम बोले महंगे टेस्ट परेशान,non-hostile
1710,1711,कप्तान बोले युवा सीखने समय लगेगा1,non-hostile
1711,1712,इस्लाम निकाह अलावा भाई बहन त्यौहार क्याबस पूछ,defamation
1712,1713,सुशांत सिंह राजपूत केसः महिला कॉन्स्टेबलों मुंबई पुलिस टीम डीआरडीओ गेस्ट पहुंची । थोड़ी देर रिया चक्रवर्ती निकलने वाली । 1,non-hostile
1713,1714,शांतिप्रिय समुदाय सही इलाजसिर्फ संत जानते म्यांमार विराथुजीऔर भारत योगीजी,defamation
1714,1715,रंगीन वीडियो मोदी भतीजी जानकारी दुरुस्त लेना,defamation
1715,1716,लद्दाख सीमा भारत दबदबा सेना दक्षिणी पैंगॉन्ग विवादित इलाके पूरी हमारा कब्जा इलाके चोटियों आर्मी काबिज 1,non-hostile
1716,1717,इसरो ब्राह्मणवादी अल्पसंख्यक विरोधी चाँद विक्रम क्यों भेजा उस्मान अब्दुल पीटर क्यों चन्द्रयान क्या हासिल होगा हजार करोड़ फूक दिए दक्षिण सतह उतर केवल सेल्फी लेने जबकि भारत कटोरा दाल भात लोग मर,fake
1717,1718,उन्होंने निर्देशित जनपद लखनऊ विशेषज्ञ चिकित्सकों टीम गठित जाए डिजिटल प्लेटफॉर्म जनता स्वास्थ्य सम्बन्धी दिक्कतों दूर परामर्श प्रदान करे गृह सूचना,non-hostile
1718,1719,खेल मंत्री,non-hostile
1719,1720,मोहतरमा अम्बानी भूखा मर होगा लाख करोड़ काम दिए क्या उल्लूओं दिन दिखाई नही पड़ता,hate
1720,1721,बोनस शेयर जारी सकती जानिए क्या सरकार तैयारी v,non-hostile
1721,1722,हर तरफ चर्चा ए पब्जी बैन ऐप्स बात गेम्स बैन जिसके करोड़ों खेलने बात,non-hostile
1722,1723,बढ़त बंद बाजार फैसले भारती एयरटेल शेयर भरी रफ्तार1,non-hostile
1723,1724,हमें सार्वजनिक परिवहन दुरुस्त होगा हमें इलेक्ट्रिक वाहनों प्रयोग होगा प्रकाश जावडेकर,non-hostile
1724,1725,लोक जनशक्ति पार्टी बैठक फैसला विधानसभा सीटों उम्मीदवारों ऐलान जाएगा जल्द जल्द लिस्ट सेंट्रल पार्ल्यामेंट्री बोर्ड भेजी जाएगी । चुनाव गठबंधन संबंधित फैसले पार्टी प्रमुख करेंगे ।,non-hostile
1725,1726,चायवाले मजाक उड़ाने खुद पार्टीके लोगों मनाने घूम घूम चाय पिला हैं1,fake
1726,1727,हिन्दुओं नपुंसक बनाने बिरयानी दवाई मिलता कोयंबटूर,hate
1727,1728,लॉकडाउन दौरान जिहादी आतंकवादियों दूर रहने कहना हिंदू भाई भारी पड़ा । भाई रेवत सिंह तंवर माडवा पोकरण हत्या दी गई । प्रशासन निवेदन दोषियों तुरंत गिरफ्तार । सब्र टूट संभालना मुश्किल जाएगा ।,fake
1728,1729,तीन सही चिन्ह दिखने मतलब सरकार सन्देश देखा तीनों चिन्ह लाल मतलब सरकार ख़िलाफ कार्यवाही करेगी दावे झूठ आधार फ़र्ज़ी सूचना ख़ारिज चुकी,fake
1729,1730,इतने बड़े बड़े महान अर्थशास्त्री आत्माओं रहते हुये सालों देश विकसित राष्ट्र बना पाए भारत आज़ाद चीन सालों कहाँ कहाँ पहुँच चमचों भारत कहाँ पहुँचा हद चाटुकारिता रहो ।,hate
1730,1731,महाराष्ट्र होटलों खोलने मिली इजाजत फिलहाल चलेगी मेट्रो,non-hostile
1731,1732,वें ओवर राशिद झटके विकेट कैरी स्टोइनिस भेजा पवेलियन मुश्किल ऑस्ट्रेलिया स्कोर ओवर,non-hostile
1733,1734,बाहर फ़ेसबुक अपलोड ई एम टैग देनाकेजरवाल शर्म करो केजरवाल शर्म करो हद गई भाई । समलता बताओ राष्ट्रपति शासन लागू अनुरोध,fake
1736,1737,क्या खबर चैनल बहस गुजरात अव्यवस्थाओं चैनल मौन क्यों,non-hostile
1737,1738,कात्यायनी मंत्र प्रधानमंत्री नरेंद्र मोदी गाया देश शक्ति आह्वान कभी सोचा प्रधानमंत्री प्रभावशाली आवाज़ होगी अविश्वसनीय,fake
1738,1739,प्रणब मुखर्जी बारे जानें किन चीजों शौक क्या मलाल1,non-hostile
1739,1740,अबे माधरचोद हलाला पैदाइश कोठे दल्ली पैदा सूअर अब्बू भाइजान सुहागरात मनाने आतंकवादी कौम नाजायज औलाद तू कमिनी ।,hate
