0,1,2,3
2069,2070,तेलंगाना नए सचिवालय दिखेगी गंगा जमुनी तहजीब होंगे मंदिर मस्जिद चर्च w,non-hostile
2070,2071,बेशर्म डाइरेक्टर फ़िल्म हिरोइन खुद बेड साइकिल रख गन्ने खेत रंगरेलियां मनाने जाती वो डाइरेक्टर वास्तविक जीवन हर स्त्री कुतिया समझेगा खुद वो कुत्ता । बुद्धिजीवी कुत्ता,defamation
2071,2072,प्रधानमंत्री धन लक्ष्मी योजना तहत महिलाओं बिना ब्याज लाख रुपए लोन जाएगा ।,fake
2072,2073,बिहार चुनाव जीतन राम मांझी नीतीश कुमार गेम प्लान वजह लाए,non-hostile
2073,2074,कंगना बारे देखें क्या बोले संजय राउत1,non-hostile
2074,2075,फोटो गुजरात बताया । इनको भूल जाओ जमाती फंसे रहो । इसको राजनीति । असल मुद्दे नजर हटाना धर्म जातपात उलझा देना । हाय रे हमारे भारतवासियों ।,fake
2075,2076,विधायक अनिल उपाध्याय पुलिस पीट मोदी देश झुकने दूँगा बार्डर अतंकी जवानों मार देश भाजपा नुमाइंदे पुलिस वालों आम जनता मार वाह रे अच्छे दिन,defamation
2076,2077,पुलिस जवान संविधान बचाने हमारे सिवाए आतंकियों,defamation
2077,2078,हां विश्व अब जाहिल जेहादी इस्लाम खिलाफ एकजुट सबक सिखाने तैयार ।,hate
2079,2080,दिल्ली हाइकोर्ट बम विस्फोट वीं बरसी । मारे गए लोगों परिजनों साल आर्थिक हालत ख़राब । आज़तक संवाददाता रिपोर्ट1,non-hostile
2080,2081,आफत बारिश जानें दाम v,non-hostile
2081,2082,समय स्पेशल रैली करके लोगो सम्बोधित करके पीएम स्पष्ट । वर्चुअल रैली जरिए समझाया कल मंत्रियों प्रेस कांफ्रेंस उसमें समझाया साले चमचों अम्मा सिर्फ बात जोर देती सड़क निकलो ।,hate
2082,2083,कुत्ते घी हजम नही होताओर नचनिया इज्जत दे बैठे इसको राजनीति पहुंचना पहुंच गईलेकिन आंतकवादी किसान । । सरकार प्रवक्ता समझ लोइब वो हिंदुत्व आले धर्म निभाते रहो इसनै थारे बाप दादे,defamation
2084,2085,बधाई भाइयो सेना पहला आतंकी पकड़ लिया जय हिंदवायरल वीडियो फ़ौजिओं पीटा शख़्स पुलवामा हमले आरोपी,fake
2085,2086,चमचे आत्मकथा नून रोटी खायेंगे चमचागिरी जिंदगी बितायेंगे । बाप चमचा खुद चमचा बच्चों चमचा बनायेंगे,defamation
2086,2087,भारत जीडीपी फ़ीसदी गिरी लॉकडाउन असर,non-hostile
2087,2088,यूपीः जमीनी विवाद लेकर मारपीट पूर्व विधायक मौत बेटे लगाया हत्या आरोप विपक्ष हमलावर1,non-hostile
2088,2089,डीआरडीओ अस्त्र मिसाइल छुड़ेंगे दुश्मनों छक्के,non-hostile
2089,2090,हीर खान जैसी बाजारू औरतों खिलाफ ग्रुप बनाना चाहती हूं हिन्दू बहन देगा फॉलो करके कमेंट,offensive
2091,2092,सच साले भारत बाप जागीर समझने लगे,offensive
2092,2093,भारतीय संस्कृति गुरु शिष्य संबंध अद्भुत अनुपम । गुरु गोविंद पहुंचने माध्यम । शिक्षक दिवस पुनीत अवसर आदरणीय गुरुजनों श्रीचरणों सादर नमन । गुरुदेव आशीष अभिसिंचित जीवन पथ मंगलमय । कामना ।,non-hostile
2093,2094,अंतरंग स्थिति महिला जवाहर लाल नेहरू,fake
2094,2095,तस्वीर भारतीय सेना राजस्थान रेगिस्तान नियुक्त गयी महिला सैनिक राजस्थान तपते रेगिस्तान पहरा देती भारतीय जवान रुक क्यों गए अब बोलो जय हिंद,fake
2095,2096,भगत सिंह छोटी बहन प्रकाश कौर वर्ष आयु हमारे बीच । नेता राजनेता शोक बताया देश भक्त अवश्य श्रद्धांजलि अर्पित । दिल नमन वीर भाई वीरांगना बहन,fake
2096,2097,ऑफर मुकेश अंबानी दुनिया धनी व्यक्ति बनने खुशी नीता अंबानी हजार यूजर महीने वाला रिचार्ज फ्री देने वादा नीले रंग लिंक करके नंबर रिचार्ज । कृपया ध्यान दे ऑफर कभी ख़त्म सकती ।,fake
2097,2098,जान ज़हर जुर्म,non-hostile
2098,2099,चमन चमचा बोला राम मंदिर बन अब बीजेपी मुद्दे चुनाव लडो़गे मैंने बोला जनसंख्या नियंत्रण बिल ताकि सुतिया पैदा,hate
2099,2100,दृश्य कश्मीर केरल । दुलारी ममता राज्य बंगाल राजधानी कलकत्ता । इस्लाम जिंदाबाद नारे लग । जागो हिन्दू जागो ।,hate
2100,2101,रिटायरमेंट महीने रिलायंस शामिल इंडियन ऑयल पूर्व चेयरमैन v,non-hostile
2101,2102,कर्नाटक संकट मुंबई लौटे बागी विधानसभा सत्र शुरू कांग्रेस जारी व्हिप1,non-hostile
2102,2103,देशद्रोही कन्हैया कुमार आजादी देते हमारे देश बिहारी युवा ।,fake
2103,2104,कृपया संज्ञान लेकर आवश्यक कार्यवाही ।,non-hostile
2105,2106,लोकतांत्रिक तरीके गजवा ए हिन्द मंदिर सुरक्षित रहेगा । इसलिए आपने राम मंदिर निर्माण देने संकल्प उसका हिस्सा आपको सनातन वैदिक राष्ट्र निर्माण देना होगा,hate
2106,2107,विडियो रिकॉर्ड गई । विडियो महावीर कैंसर संस्थान संबंधित ।,non-hostile
2107,2108,भारतीय कंपनियों धन बारिश अब आए लाख करोड़ v,non-hostile
2108,2109,चीन निर्यात अगस्त बढ़ोतरी आयात आई कमी1,non-hostile
2109,2110,सुशांत सिंह राजपूत केस हर रोज़ नया खुलास नया बयान सामने आता ।,non-hostile
2110,2111,हफ़्ते अर्थ व्यवस्था ख़ास फ़ोकस x नज़र भारत चीन मसला देखना ज़रूर vv,non-hostile
2112,2113,सऊदी अरामको अक्टूबर महीने एशियाई देशों क्रूड ऑयल दाम कटौती ऐलान,non-hostile
2113,2114,भक्त बन टहले चौकीदार बन गए । हालात बेरोजगार बना । हवलदार फिरवोट करेंगे नमो,defamation
2114,2115,शाहबाद मारकंडा नकली मशीने पकड़ी गई दावा वालों हरकत,defamation
2115,2116,डीडी न्यूज़ विशेष कार्यक्रम आत्मनिर्भर भारत चर्चा विषय केंद्रीय गृह मंत्रालय,non-hostile
2117,2118,पाकिस्तान दशकों ज़मीन दे दी चीन अब ज़मीर दे सुधांशु त्रिवेदी,non-hostile
2118,2119,बाल अपहर्ताओं गिरोह बारे लोगों सूचित यूपी पुलिस वीडियो ।,fake
2119,2120,जम्मू कश्मीर उपराज्यपाल कल श्रीनगर हजरतबल दरगाह दौरा दरगाह श्रद्धा सुमन अर्पित जम्मू कश्मीर शांति प्रगति समृद्धि प्रार्थना उपराज्यपाल धर्मगुरुओं अपील वो,non-hostile
2120,2121,यूपी आदित्यनाथ सरकार लोकतंत्र गला घोंट सरकार खिलाफ उठने वाली आवाज़ों दमन । लोकतंत्र चलता,defamation
2121,2122,नवलनी मिलिटरी ग्रेड नर्व एजेंट ख़ास नर्व एजेंट जिसका नाम नोविचोक रशियन भाषा नोविचोक मतलब न्यू नया आदमी सोचिए तड़पाकर मारने ज़हरीले रसायन नाम नया आदमी ,non-hostile
2122,2123,पूर्व राष्ट्रपति प्रणब मुखर्जी निधन पीएम मोदी जताया दुख,non-hostile
2124,2125,गुजरात वडोदरा लेकर जूनागढ़ बाढ़ बाढ़,non-hostile
2125,2126,मोदी भतीजी पर्स गुम घंटे दिल्ली पुलिस ढूंढ ली पति मोबाइल पैसा सदर बाजार चोरी ली गई महीना सदर पुलिस पता चली रिपोर्ट लिखाने फर्क आम खास गरीब चोरी होगी हत्या होगी आपको इंसाफ मिलेगी,hate
2126,2127,दाएं कोने ड्यूरेक्स लोगो हैशटैग,fake
2127,2128,शिक्षक दिवस अवसर देश शिक्षकों अभिनंदन शुभकामनाएँ देता हूँ । भारत पूर्व राष्ट्रपति डा सर्वपल्ली राधाकृष्णन जयंती दिन स्मरण नमन हूँ ।,non-hostile
2128,2129,जाता फोटो हजारों शब्दों बराबर । लाख कीमत । पता किसने हर पहलू फ्रेम कैप्चर फोटोग्राफर पुरस्कार हकदार । इतिहास चित्रों बना ।,fake
2130,2131,सौभाग्य पर्व हरतालिका तीज बधाई ।,non-hostile
2133,2134,दिल्ली मॉडल पहल,non-hostile
2134,2135,हफ्ते दिन शेयर बाजार बढ़त बंद ।,non-hostile
2135,2136,गुजरात मॉडल बदसूरत प्रदर्शन “दहेज पढ़ाना सोशल साइंस टेक्स्टबुक अंश महिला सशक्तिकरण बारे भाजपा विचार । दहेज प्रतिषेध अधिनियम आईपीसी याद दिलाना चाहते अपराध संज्ञेय गैर यौगिक गैर जमानती ।,fake
2136,2137,ए प्रूफ़ ऑफ़ गैलवन । गलवान झड़प उसमें चीनी सैनिक मारे गए जिसके देश सारे लोग खड़े गए सबूत कहां उसका उसका सबूत सामने टेलीविज़न स्क्रीन । भारत झड़प चीन ज़्यादा जवान मारे गए कब्रों देख श्रद्धांजली दी,fake
2137,2138,मेट्रो लाइन सेवाएं देखते यात्रियों उचित दूरी रखना आवश्यक 1,non-hostile
2138,2139,हर चुनौती हाथ मैंने किये आंधियों जलाए बुझते दिये । जननायक विलक्षण नेतृत्वकर्ता दूरदर्शी अप्रतिम वक्ता अजातशत्रु भारत रत्न परम श्रद्धेय स्व अटल बिहारी वाजपेयी पुण्यतिथि सादर पुष्पांजलि कृतज्ञता ज्ञापन हुतात्मा नमन,non-hostile
2139,2140,अमित शाह जून बिहार रैली करेंगे । सरकार इसलिए लॉकडाउन हटाया,fake
2140,2141,हिंदू हूं मेरा फर्ज बनता पूरी दुनिया लोगों,offensive
2141,2142,कांग्रेस वोट देने हिन्दुओ भाई जरा गोधरा कांड याद लेना कांग्रेस सरकार मुस्लिमो बोगियों भरा हिन्दुओ तेल छिड़क आग जलाया अगर थोड़ा सा हिन्दुओ दया कांग्रेस मुक्त भारत हमारे हिन्दू भाइयो ।,fake
2142,2143,वीडियो दावा चीन विनाशकारी बाढ़ चपेट,fake
2143,2144,हिमाचल सरकार बढ़ाई कंगना रनौत सुरक्षा मुंबई सुरक्षा देने विचार,non-hostile
2144,2145,किसान उतना फायदा मंद नोटबंदी दिन कोरोना खत्म वाली बात नजर कृषि पड़ी किसान जमीन किसान फसल अंग्रेज गंदे खून भारतीय खून सबके अंबानी अडानी पालतू कुत्ते,defamation
2145,2146,प्रधानमंत्री नरेंद्र मोदी राष्ट्रीय शिक्षा नीति सम्मेलन संबोधित,non-hostile
2146,2147,देखना साहब दिन मोर बेच देंगेऔर कहेगे सही उड़,defamation
2147,2148,भाईया भारतीय मुस्लिम भाईयों देश वामपंथी कांग्रेस नेताओं दबाव डाले आगर चीन चाइनीज मुस्लिमों अत्याचार रुका चुनाव नोटा अपनायेंगे विशेष कामरेड सिताराम येचुरी ब्रिंदा करात राहुल गांधी दरबार करे,offensive
2148,2149,गेम पागल कृपया बच्चो मोबाईल गेम नही खेलने दे ।,fake
2149,2150,जानिए नए टैक्स सिस्टम तहत एनपीएस निवेश टैक्स बचाने टिप्स v,non-hostile
2150,2151,चीफ जस्टिस कोशिश लाई रंग वर्ष परिजनों मिलेंगी पार्वती जानें पूरी कहानी1,non-hostile
2151,2152,शिक्षक दिवस उपलक्ष्य भिवानी शिक्षकों सम्मानित w देखिये प्रदेश जुडी ख़बरों लेखा जोखा रोज़ाना शाम बजे सिर्फ दूरदर्शन हिसार,non-hostile
2152,2153,सुशांत केस श्रुति मोदी सामने खुलासा रिया देखती थीं सुशांत फाइनेंस वही देती थीं दवाइयां,non-hostile
2153,2154,फ्रांस मैगजीन चार्ली हेब्दो अब कार्टून छापने एलान कल स्वीडन नार्वे टीवी चैनलों बहस दौरान प्रतिभागियों कुडान फाड़ डाला कुरान पन्ने चबा चबा खा यानी जल्द पश्चिम देश कश्मीर भारत ज्ञान पेल,hate
2154,2155,तीन महीने नरेंद्र मोदी पुल उद्घाटन वो गिर,fake
2155,2156,सुने करण जौहर गे गे मतलब प्राकृतिक तौर डिफेक्टेड पीस अब ईश्वर बनाया मादरचोद वैसी फिल्म बनाएगा उसको गडरिया समय बर्बाद,defamation
2156,2157,भारत पाकिस्तान तहत जम्मू कश्मीर मुद्दे सुरक्षा परिषद एजेंडे हमेशा हटाने अपील,non-hostile
2157,2158,निजीकरण सरकारी फर्क समझिऐ । कुंवारा घरवालों सुनता गई अब सिर्फ़ बीबी,defamation
2158,2159,पाकिस्तानी बोलर्स बात शाहीन शाह अफरीदी लगभग रन ओवर लुटाए मोहम्मद आमिर ओवर्स रन बने हाल तीसरे मैच युवा नसीम शाह मौका मिलने उम्मीद जताई सकती ,non-hostile
2159,2160,नीले आकाश दिवस मनाना पड़ता उद्योग जनसंख्या वाहन कचरा बढ़ने प्रदूषण बढ़ा प्रकाश जावडेकर,non-hostile
2160,2161,पुलिस जवान संविधान बचाने हमारे सिवाए आतंकियों ।,fake
2161,2162,छह पार्टियों बार अगस्त गुपकर घोषणा प्रतिबद्धता तस्दीक,non-hostile
2162,2163,तुलसी पीने कोरोनावायरस रोका सकेगा डब्ल्यूएचओ सूचना जारी,fake
2163,2164,वो कहेती वो कहेती सुन्नेका नई,defamation
2164,2165,मिलती जुलती राजनीति तुम्हारा क्या वही अब निकल लो टाइम रसौली लाल टोपी वाला अगर सिर कुकर रखे खड़ा उसको पता गैस लाल खाना बनता,hate
2165,2166,मुजफ्फरपुर प्रशिक्षु महिला एसआई लगाया चौकी परिसर प्रताड़ना आरोप जांच शुरू1,non-hostile
2166,2167,चीन चालबाजियां अब आ काम भारत सामने मोर्चे नाकाम,non-hostile
2167,2168,प्रधानमंत्री मोदी देश कुपोषण संबंधित जागरूकता पैदा भागीदारी समन्वित प्रयासों बताई । प्रधानमंत्री इससे नारी शक्ति युवा शक्ति बल मिलेगा ।,non-hostile
2168,2169,बीजेपी सांसद रीता बहुगुणा जोशी कोरोना पॉजिटिव अस्पताल कराया भर्ती,non-hostile
2169,2170,प्राण अजीत कादर खान अमरीश पुरी प्रेम चोपड़ा अमजद खान रंजीत मशहूर फिल्मी विलेनों फिल्मी दुनिया केएन सिंह सिक्का चलता समय,non-hostile
2170,2171,पूरी गारंटी कह हूं विकास दुबे जिंदा जिसका इनकाऊंटर वो निर्दोष विकास दुबे हमशक्ल वो उज्जैन पकड़ाया वो पागलों जैसी हरकत बोला विकास दुबे हूं कानपुर वाला जबकि कुख्यात अपराधी ऐसी हरकत । जिसका इनकाऊंटर उसका एज असली अपराधी कम भाजपा सरकार जनता चूतिया बनाना छोड़ ठीक कार्यवाही करो,fake
2171,2172,पुलिस विरोध छात्रों टिअर गैस 1,fake
2172,2173,प्रधानमंत्री गलवान क्यों गए क्या चीन सरेंडर,non-hostile
2173,2174,पटना परीक्षा स्थगित मांग लेकर कांग्रेस कार्यकर्ताओं प्रदर्शन रिपोर्ट1,non-hostile
2174,2175,दुश्मन बर्बाद चाहते भारत अर्थव्यवस्था । हमने ख़ुद दी दुश्मन मलते रह गए हाथ ।,defamation
2175,2176,रहेंगे वो जलेंगे हिन्दू,hate
2176,2177,रिया समर्थन आईं तापसी सफल व्यक्ति रिश्ता रखने वाली हर महिला पैसे पीछे vz,non-hostile
2177,2178,कोरोना वायरस संबंध अपर मुख्य सचिव गृह सूचना अपर मुख्य सचिव स्वास्थ्य अमित मोहन प्रसाद प्रेसवार्ता,non-hostile
2179,2180,संघी बुरका पहनकर मुसलमानों बदनाम नाकाम कोशिशवो बेल बाहर वो सरकारी कर्मचारी फ़िलहाल मानसिक बीमारी इलाज करवा रहें हमने सारे दावों चेक,fake
2180,2181,टीमों शुरू प्रैक्टिस रोहित शर्मा ऋषभ पंत दिखे फॉर्म,non-hostile
2181,2182,भाजपा राज्यसभा सदस्य हरनाथ सिंह यादव यूपीएससी सिलेबस इस्लामिक स्टडीज हटाने मांग रखी ।,fake
2182,2183,डॉक्टर कफील खान पत्नी बोलीं दुरुपयोग,non-hostile
2183,2184,बॉलीवुड चरसी नशेड़ियों हीरो कहना बंद कीजिये । असली हीरो देश आर्मी जवान ।,offensive
2184,2185,मिल सुनकर शाहीन बाग महिलाएं बेगूसराय निकल । सिर्फ मिल । आपस रेट फिक्स लो वरना छोटे छोटे बच्चों लेकर महिलाएं इधर उधर करेंगे बारे थोड़ा सोचो ।,offensive
2185,2186,जून पूर्ण लॉकडाउन लागू ।,fake
2186,2187,दाम रुपये कम लॉन्च बैटरी ड्यूल कैमरे बड़ी स्क्रीन वाला स्मार्टफोन,non-hostile
2187,2188,दुनिया बड़ी अर्थव्यवस्थाओं भारत ज़्यादा गिरावट चीन सकारात्मक ग्रोथ चीन दावा अप्रैल जून तिमाही उसकी जीडीपी ग्रोथ फ़ीसदी,non-hostile
2188,2189,अमेरिकी छात्रों भारत हाइड्रोक्सीक्लोरोक्वाइन प्रदान किये जाने शुक्रिया जताते निर्मित । जय हिन्द ।,fake
2189,2190,भारत लॉन्च होगा सितंबर सकती कीमत w,non-hostile
2190,2191,बैंक ओफ चाइना पहली ब्रांच मुंबई शुरू भक्त फूले समा । बैंक कर्मचारी लद्दाख रास्ते आ चुकें ।,fake
2191,2192,पूर्व पीएम मनमोहन सिंह सालों बार चीन डर अरुणाचल प्रदेश दौरे गए । मोदी सरकार छह साल चीनी सीमा नए एयरपोर्ट बनाए ।,fake
2192,2193,एंबुलेंस ड्राइवर अक्षय पूछताछ सुशांत मौत संदीप बात आरोप,non-hostile
2193,2194,शाहीन बाग प्रदर्शनकारी शामिल लगाए आरोप पार्टी इशारे क्या कहना लोगों शाहीन बाग धरना प्रदर्शन लेकर शक राजनैतिक धरना प्रदर्शन भोले भाले लोगों जाति धर्म नाम यूज,defamation
2195,2196,पाकिस्तान पढ़े लिखे लोगों हाथ जाने नतीजा पाकिस्तान कोरोना जंग जीत ली डब्ल्यूएचओ तारीफ पुल बांध दी भारत गवार भ्रष्ट मूर्ख हाथ जाने नतीजा सामने भारत दुनिया गरीब कमजोर भुखमरी वाली देश बन गई साल,defamation
2196,2197,सत्य संघर्ष दबेगी देश आवाज जीता भरोसा जीतेगा विश्वास,non-hostile
2197,2198,हरियाणा श्रम रोजगार राज्यमंत्री अनूप धानक उकलाना नई अनाज मंडी करोड़ लाख रूपये लागत सड़क मरम्मत कार्यों शुभारंभ ।,non-hostile
2198,2199,इंदिरा गांधी अंतिम संस्कार बेटा राजीव गांधी इस्लामिक मोड प्रार्थना क्यों पीवी नरसिम्हा राव हिंदू तरीके । राजीव गांधी नरसिम्हा राव तस्वीर इंदिरा गांधी अंतिम संस्कार ।,fake
2199,2200,कार्यालयों कार्यस्थलों समस्त कर्मचारियों कार्मिकों संक्रमण बचाव हेतु मोबाइल फोन डाउनलोड लेना चाहिए गृह सूचना,non-hostile
2201,2202,आपकी सुविधा । ज़्यादा ज़्यादा इस्तेमाल,non-hostile
2202,2203,सरकार हर गांव हेलिकॉप्टर रुपए गिराएगी,fake
2203,2204,मुंबई गुजराती लिखे दुकानो बोर्ड उतरवाने काम खत्म तोमराठी अस्मिता नाम मोहम्मद अली रोड परकी दुकानों बोर्ड उतरवा लेना अगर हिम्मत,offensive
2204,2205,लाख किस्त मोदी सरकार भेजी । नेहरू हारी किलोमीटर जमीन भारतीय सेना कब्जा जय राम जय हिंद,hate
2205,2206,गलवान भारत अमेरिका बोला हमारी रणनीति चीन हर मोर्चे पीछे धकेलने v,non-hostile
2206,2207,जीनियस सुशांत दोनों हाथों लिखने हासिल महारत बहन शेयर,non-hostile
2207,2208,सोने वायदा कीमतों तेजी चांदी उछली जानिए क्या भाव1,non-hostile
2209,2210,हमने नए एप मौसम दामिनी रेन अलार्म लॉन्च किए मौसम विभाग,non-hostile
2210,2211,कश्मीर फ़लस्तीन समानता दोनो स्थानों मुसलमानों खुलेआम जुल्म दुनिया ख़ामोश,hate
2211,2212,झारखंड कॉरपोरेट घरानों सरकारी स्वास्थ्य व्यवस्था बर्बादः कांग्रेस,defamation
2212,2213,चेन्नई अंडमान समुद्र ऑप्टिकल फाइबर केबल बिछने अंडमानवासियों जीवन बदलाव आएगा । अल्ट्रा फास्ट नेटवर्क मिलने पर्यटन डिजिटल सेवाओं बढ़ावा मिलेगा ।,non-hostile
2213,2214,भाजपा राष्ट्रीय अध्यक्ष जगत प्रकाश नड्डा हेमंत सरकार तीखा हमला बोला ।,non-hostile
2214,2215,बैठकर पढ़ बच्चों सुपर स्मार्ट कोच स्पेशली डिज़ाइन करिकुलम लेकर आया बच्चों ऑनलाइन लर्निंग बेहतर बना ,non-hostile
2215,2216,विधायक अनिल उपाध्याय खुद वोटरों आपको वोट डलवा हरकत क्या कहेगे,defamation
2216,2217,मीडिया लिखना गरीबी बेरोजगारी भ्रष्टाचार बेचारी कंगना रिया बढ़ पा पापी पेट,offensive
2217,2218,राष्ट्रीय खेल दिवस हार्दिक,non-hostile
2218,2219,बेच साले बाप माल समझकर तुम्हारे समज आये तबतक तुम्हारे गा बांबू गुस चुका होगा लाख करोड कर्जा साल तरक्की करके सालमे लाख करोड इतना भ्रष्टाचार सोचो फिरभी बेच प्रायव्हेट,hate
2219,2220,प्रणब न्यौते हामी भरी तभी सिर्फ पार्टी कांग्रेस बल्कि आरएसएस विचारधारा जुड़ी भारतीय जनता पार्टी वामपंथी दलों धुकधुकी आखिर प्रणब दा नागपुर जाकर क्या बोलेंगे v,non-hostile
2220,2221,कोरोना काल आकर्षक मास्क बनाकर रुबीना बनाई अलग पहचान नरेंद्र मोदी चुके तारीफ1,non-hostile
2221,2222,देश महत्वपूर्ण माध्यम शिक्षा नीति शिक्षा व्यवस्था । शिक्षा व्यवस्था जिम्मेदारी केंद्र राज्य सरकार स्थानीय निकाय जुड़े । सही शिक्षा नीति सरकार उसका दखल उसका प्रभाव कम कम चाहिए,non-hostile
2222,2223,जातिवाद वार कंगना रनोट बोलीं मां दलित बच्ची गोद लिया बेटी पाल पोसकर उसकी शादी करवाई मॉर्डन इंडिया जानती हूं 1,non-hostile
2223,2224,भारत मुस्लिमों सोशल डिस्टेंसिंग फॉलो,fake
2224,2225,आरोपी रिया चक्रवर्ती महाराष्ट्र सरकार वीआईपी ट्रीटमेंट क्यों । आपराधिक मनोवैज्ञानिक अनुजा कपूर राजनीतिक विश्लेषक विक्रम सिंह यादव पूछादेखिए पूछता भारत अर्नब रिपब्लिक भारत v,non-hostile
2225,2226,कंगना लेकर किमजोन बारे घंटों भौंकने कुत्तों पास अन्नदाता किसानों समाचार,fake
2226,2227,कृपया रात वक़्त बाहर जाए प्रवासियों मज़दूरों गरीब लोग पैसों आभूषणों मासूमों हत्या मार्केट नकद कमी वारदाते आने समय बार बार वाली देशभर नकद रोटेशन दैनिक मज़दूरों पास नकद राशि,fake
2227,2228,कोरोना पीड़ित मिनट चलेगा पता स्विस फार्मा कंपनी जल्द पेश करेगी टेस्ट z,non-hostile
2228,2229,सुशांत हमेशा तारों शौक । इसलिए तारे नाम देना एकदम सही लगा । हमेशा गर्व होगा मैंने ऐसी खूबसूरत गंभीर आत्मा देखा । हमेशा तेज चमकते रहें ।,fake
2229,2230,रिया चक्रवर्ती लंबी पूछताछ1,non-hostile
2230,2231,सुरेश रैना ट्विटर जरिये यूएई भारत लौटने वजह बताई 1,non-hostile
2231,2232,कोतवाली पुलिस टीम मुठभेड़ रुपये ईनामिया अभियुक्त मंजीत यादव गिरफ्तार मुअसं धारा भादवि थाना कोतवाली सम्बन्धित । सम्बन्ध,non-hostile
2232,2233,जस्ट पुछिंग जख्मों नमक छिड़कना । सा सही रहेगाटाटा पतंजलि,defamation
2233,2234,लॉन्चिंग शाम बजे देंखे लाइव इवेंट,non-hostile
2234,2235,शराब दुकानें खुलने बीजेपी नेत्री शराब पी,fake
2235,2236,लोग मोदी क्रिटिसाइज शायद लॉकडाउन बारे पता चला सारे उद्योग धंधे बंद,offensive
2236,2237,पिछले तीन दिन प्रियंका वाड्रा लेकर ज्यादा प्रचार प्रसार गनीमत इंदिरा मृत्यु समय प्रियंका जन्म ले चुकी वरना कांग्रेसियों कथा फैल जाती इन्द्रा पुनर्जन्म,hate
2237,2238,दिल्ली वालों खुशखबरी मार्च बिजली दरें बढ़ेंगी v,non-hostile
2238,2239,हरामी सदस्यता रद्द जाए कल कल वरना कमीने बहोत,offensive
2239,2240,मोदी सरकार बड़ा फैसला बॉर्डर चिनियों बैन डिजिटल वर्ल्ड समेत मोबाइल ऐप्स लगाया बैन ।,non-hostile
2240,2241,सिंगापुर भारतीय मूल नेता प्रीतम सिंह विपक्ष नेता पद संभालने इतिहास रच,non-hostile
2241,2242,किताबों नपुंसकों अय्याशों पाठ हटवा इन्हे पढ़कर हिंदू खोखला चुका अब चन्द्रशेखर आजाद भगत सिंह वीरता पढ़ाई जानी चाहिए बच्चे रास्ट्रभक्त बनेंगे,offensive
2242,2243,दिग्विजय सिंह राहुल गांधी वीडियो आधार बनाकर शिवराज खिलाफ थाने एफआईआर कराऊंगा खिलाफ केस दर्ज हुआप्रदेश शराब बिक्री मामले मुख्यमंत्री शिवराज सिंह चौहान फेक वीडियो ट्वीटर शेयर फंसे पूर्व मुख्यमंत्री,defamation
2243,2244,कमबख्त न्यूज़ चैनल क्या क्या हैडिंग देते संतुष्ट पाई गेस्ट हाउस,defamation
2244,2245,संविधान अनुच्छेद निरस्त ऐतिहासिक निर्णय उपलब्धि आदरणीय पीएम नरेन्द्र मोदी आदरणीय गृहमंत्री अमित शाह फैसले समर्थन संसद सदस्यों कोटि कोटि धन्यवाद भाजपा अध्यक्ष,non-hostile
2245,2246,सुशांत केस एनसीबी दफ्तर रवाना हुईं रिया चक्रवर्ती गिरफ्तारी लटकी तलवार1,non-hostile
2246,2247,तू बोल मत ट्वीट खुदका ट्वीट नही कमीने सारे हमारे ट्वीट रिट्वीट रिप्लाई भरे पड़े,offensive
2247,2248,उत्तर प्रदेश मुख्यमंत्री योगी आदित्यनाथ क्या । सरकार चला महिलाओं इज़्ज़त तार तार । लखनऊ गैंगरेप हत्या आम गए ।,fake
2248,2249,शहीद वीरपाल सिंह जम्मू कश्मीर सुंदरी वन तैनात सीमा घुसपैठ रोकने साथियों पाकिस्तान बॉर्डर पेट्रोलिंग,non-hostile
2249,2250,कंगना बालकनी टूटी मीडिया शोर हुआहरियाणा किसानों हड्डियां तोड़ी सारे राष्ट्रवादी खामोश,fake
2250,2251,भारत पैंगोंग क्षेत्र रणनीतिक बिंदुओं सैन्य मौजूदगी मजबूत सूत्र,non-hostile
2251,2252,वाजपयी भतीजी आखिरकार तोड़ी चुप्पी जानिए क्या मर जाउंगी जीवन भारतीय जनता पार्टी जाउंगी ।,defamation
2252,2253,साली कुतिया बच्चे पैदा बनना मुल्ले छि,hate
2253,2254,कोरोना वायरस कोविड गंभीर मामलों जान बचा सस्ते स्टेरॉयड,non-hostile
2254,2255,अल्लाह देर अंधेर नही रंजन गोगोई,defamation
2255,2256,अजय देवगन माता,fake
2256,2257,सुशांत,non-hostile
2257,2258,सुप्रीम कोर्ट अवमानना मामले प्रशांत भूषण क्या सज़ा सुनाईआवाज़ः नवीन नेगी,non-hostile
2258,2259,शिक्षा व्यवस्था किए बुनियादी बदलावों शिक्षकों केन्द्रीय भूमिका रहेगी । शिक्षा नीति स्पष्ट शिक्षण पेशे होनहार लोगों चयन चाहिए तथा आजीविका मान मर्यादा स्वायत्तता सुनिश्चित जाना चाहिए ।,non-hostile
2259,2260,फ़िल्मी ऐक्ट्रेस कंगना रानावत समय नेता पार्टी कम काम नही । हिंदुत्व झंडाबरदार । लगातार आरक्षण ख़िलाफ़ बोल । भाजपा अघोषित प्रचारक खंडन नही । माना जाए भाजपा सहमति ।  ,non-hostile
